question,answer
"What year was the very first model of the iPhone released? ","2007"
"Whois often called the father of the computer? ","Charles Babbage"
"Who among the following is popular as Mother of Internet? ","Radia Perlman"
"What was Twitter's original name? ","twttr"
"What is the name of the man who launched eBay back in 1995? ","Pierre Omidyar"
"Created in 1990, what was the name of the first internet search engine? ","Archie"
"Which one is the first web browser invented in 1990? ","Nexus"
"What is the name of the British computer scientist who invented the World Wide Web in 1989 ","Tim Berners-Lee"
"Who invented the email service? ","Ray Tomlinson"
"Which model of computer is the best selling of all time? ","Commodore 64"
"What was the name of the first operating system? ","GM-NAA I/O"
"Where was the world wide web invented? ","Switzerland"
"What is the name of the oldest programming language still in use? ","FORTRAN"
"When was the first email sent? ","1971"
"Which institution is credited with creating the first website? ","CERN"
"In terms of computing, what does ROM stand for? ","read-only memory"
